Condition,Strain,Dilution,Raw,CFU/mL in 10ml,Day,tnt.cnt.no_growth,Replicate,,,,,,,,
Glycerol,031,0,4190,4.19E+04,1,cnt,2,,checked,,,,,,
Glycerol,0506,0,13500,1.35E+05,1,cnt,2,,,,,,,,
Glycerol,5411,0,4360,4.36E+04,1,cnt,2,,,,,,,,
Glycerol,APC,0,9290,9.29E+04,1,cnt,2,,,,,,,,
Glycerol,MOX,0,0,0.00E+00,1,no_growth,2,,,,,,,,
Glycerol,LMPM,0,0,0.00E+00,1,no_growth,2,,,,,,,,
Glycerol,5506,1,15900,1.59E+05,3,cnt,2,,,,,,,,
Glycerol,0008,1,162000,1.62E+06,3,cnt,2,,,,,,,,
Glycerol,031,1,441000,4.41E+06,3,cnt,2,,,,,,,,
Glycerol,0506,1,126000,1.26E+06,3,cnt,2,,,,,,,,
Glycerol,5411,1,520000,5.20E+06,3,cnt,2,,checked,,,,,,
Glycerol,APC,1,320000,3.20E+06,3,cnt,2,,,,,,,,
Glycerol,MOX,0,0,0.00E+00,3,no_growth,2,,,,,,,,
Glycerol,LMPM,0,0,0.00E+00,3,no_growth,2,,,,,,,,
Glycerol,5506,2,2200000,2.20E+07,4,cnt,2,,,,,,,,
Glycerol,0008,2,326000,3.26E+06,4,cnt,2,,,,,,,,
Glycerol,031,1,0,0.00E+00,4,no_growth,2,,,,,,,,
Glycerol,0506,2,1410000,1.41E+07,4,cnt,2,,,,,,,,
Glycerol,5411,2,1050000,1.05E+07,4,cnt,2,,,,,,,,
Glycerol,APC,2,420000,4.20E+06,4,cnt,2,,,,,,,,
Glycerol,MOX,0,0,0.00E+00,4,no_growth,2,,,,,,,,
Glycerol,LMPM,0,0,0.00E+00,4,no_growth,2,,,,,,,,
Glycerol,5506,3,5370000,5.37E+07,7,cnt,2,,,,,,,,
Glycerol,0008,3,4260000,4.26E+07,7,cnt,2,,,,,,,,
Glycerol,031,3,2220000,2.22E+07,7,cnt,2,,,,,,,,
Glycerol,0506,3,4780000,4.78E+07,7,cnt,2,,,,,,,,
Glycerol,5411,3,6110000,6.11E+07,7,cnt,2,,,,,,,,
Glycerol,APC,0,10600,1.06E+05,7,cnt,2,,,,,,,,
Glycerol,MOX,0,0,0.00E+00,7,no_growth,2,,,,,,,,
Glycerol,LMPM,0,0,0.00E+00,7,no_growth,2,,,,,,,,
Glycerol,5506,6,1070000000,1.07E+05,Inoculum,cnt,3,,checked,,,,,,
Glycerol,0008,6,770000000,7.70E+04,Inoculum,cnt,3,,,,,,,,
Glycerol,031,6,1040000000,1.04E+05,Inoculum,cnt,3,,,,,,,,
Glycerol,0506,6,480000000,4.80E+04,Inoculum,cnt,3,,,,,,,,
Glycerol,5411,5,19000000,1.90E+03,Inoculum,cnt,3,,,,,,,,
Glycerol,5506,0,4180,4.18E+04,0,cnt,3,,,,,,,,
Glycerol,0008,1,3500,3.50E+04,0,cnt,3,,,,,,,,
Glycerol,031,0,3800,3.80E+04,0,cnt,3,,,,,,,,
Glycerol,0506,1,3000,3.00E+04,0,cnt,3,,,,,,,,
Glycerol,5411,1,2800,2.80E+04,0,cnt,3,,,,,,,,
Glycerol,APC,1,68600,6.86E+05,0,cnt,3,,checked,,,,,,
Glycerol,MOX,0,0,0.00E+00,0,no_growth,3,,,,,,,,
Glycerol,LMPM,0,0,0.00E+00,0,no_growth,3,,,,,,,,
Glycerol,5506,1,13400,1.34E+05,1,cnt,3,,,,,,,,
Glycerol,0008,2,21000,2.10E+05,1,cnt,3,,,,,,,,
Glycerol,031,1,13800,1.38E+05,1,cnt,3,,,,,,,,
Glycerol,0506,1,7200,7.20E+04,1,cnt,3,,,,,,,,
Glycerol,5411,1,5000,5.00E+04,1,cnt,3,,,,,,,,
Glycerol,APC,1,520000,5.20E+06,1,cnt,3,,,,,,,,
Glycerol,MOX,0,0,0.00E+00,1,no_growth,3,,,,,,,,
Glycerol,LMPM,0,0,0.00E+00,1,no_growth,3,,,,,,,,
Glycerol,5506,2,392000,3.92E+06,3,cnt,3,,,,,,,,
Glycerol,0008,2,35000,3.50E+05,3,cnt,3,,,,,,,,
Glycerol,031,2,47000,4.70E+05,3,cnt,3,,,,,,,,
Glycerol,0506,2,10000,1.00E+05,3,cnt,3,,,,,,,,
Glycerol,5411,2,9000,9.00E+04,3,cnt,3,,,,,,,,
Glycerol,APC,1,13500,1.35E+05,3,cnt,3,,,,,,,,
Glycerol,MOX,0,0,0.00E+00,3,no_growth,3,,,,,,,,
Glycerol,LMPM,0,0,0.00E+00,3,no_growth,3,,,,,,,,
Glycerol,5506,2,153000,1.53E+06,4,cnt,3,,,,,,,,
Glycerol,0008,2,342000,3.42E+06,4,cnt,3,,checked,,,,,,
Glycerol,031,2,54200,5.42E+05,4,cnt,3,,,,,,,,
Glycerol,0506,2,44000,4.40E+05,4,cnt,3,,,,,,,,
Glycerol,5411,2,12300,1.23E+05,4,cnt,3,,,,,,,,
Glycerol,APC,2,,,4,tnt,3,,,,,,,,
Glycerol,MOX,0,0,0.00E+00,4,no_growth,3,,,,,,,,
Glycerol,LMPM,0,0,0.00E+00,4,no_growth,3,,,,,,,,
Glycerol,5506,2,413000,4.13E+06,7,cnt,3,,,,,,,,
Glycerol,0008,2,405000,4.05E+06,7,cnt,3,,,,,,,,
Glycerol,031,2,6120000,6.12E+07,7,cnt,3,,,,,,,,
Glycerol,0506,3,1150000,1.15E+07,7,cnt,3,,checked,,,,,,
Glycerol,5411,3,410000,4.10E+06,7,cnt,3,,,,,,,,
Glycerol,APC,2,,,7,tnt,3,,,,,,,,
Glycerol,MOX,0,0,0.00E+00,7,no_growth,3,,,,,,,,
Glycerol,LMPM,0,0,0.00E+00,7,no_growth,3,,,,,,,,
Midlog,5506,6,920000000,9.20E+04,Inoculum,cnt,1,,,,,,,,
Midlog,0008,5,451000000,4.51E+04,Inoculum,cnt,1,,,,,,,,
Midlog,031,5,791000000,7.91E+04,Inoculum,cnt,1,,,,,,,,
Midlog,0506,5,602000000,6.02E+04,Inoculum,cnt,1,,,,,,,,
Midlog,5411,5,544000000,5.44E+04,Inoculum,cnt,1,,,,,,,,
Midlog,5506,0,4270,4.27E+04,0,cnt,1,,checked,,,,,,
Midlog,0008,0,250,2.50E+03,0,cnt,1,,,,,,,,
Midlog,031,0,1090,1.09E+04,0,cnt,1,,,,,,,,
Midlog,0506,0,270,2.70E+03,0,cnt,1,,,,,,,,
Midlog,5411,0,6220,6.22E+04,0,cnt,1,,,,,,,,
Midlog,APC,0,200,2.00E+03,0,cnt,1,,,,,,,,
Midlog,MOX,0,0,0.00E+00,0,no_growth,1,,,,,,,,
Midlog,LMPM,0,0,0.00E+00,0,no_growth,1,,,,,,,,
Midlog,5506,1,8800,8.80E+04,1,cnt,1,,,,,,,,
Midlog,0008,0,2170,2.17E+04,1,cnt,1,,,,,,,,
Midlog,031,1,24000,2.40E+05,1,cnt,1,,checked,,,,,,
Midlog,0506,1,22900,2.29E+05,1,cnt,1,,,,,,,,
Midlog,5411,0,4960,4.96E+04,1,cnt,1,,,,,,,,
Midlog,APC,1,20800,2.08E+05,1,cnt,1,,,,,,,,
Midlog,MOX,,,,1,,1,,,,,,,,
Midlog,LMPM,,,,1,,1,,,,,,,,
Midlog,5506,2,12300,1.23E+05,3,cnt,1,,,,,,,,
Midlog,0008,2,336000,3.36E+06,3,cnt,1,,,,,,,,
Midlog,031,1,438000,4.38E+06,3,cnt,1,,,,,,,,
Midlog,0506,1,28200,2.82E+05,3,cnt,1,,,,,,,,
Midlog,5411,1,7770,7.77E+04,3,cnt,1,,checked,,,,,,
Midlog,APC,1,283000,2.83E+06,3,cnt,1,,,,,,,,
Midlog,MOX,0,0,0.00E+00,3,no_growth,1,,,,,,,,
Midlog,LMPM,0,0,0.00E+00,3,no_growth,1,,,,,,,,
Midlog,5506,2,446000,4.46E+06,4,cnt,1,,,,,,,,
Midlog,0008,2,315000,3.15E+06,4,cnt,1,,,,,,,,
Midlog,031,2,117000,1.17E+06,4,cnt,1,,,,,,,,
Midlog,0506,2,382000,3.82E+06,4,cnt,1,,,,,,,,
Midlog,5411,2,760000,7.60E+06,4,cnt,1,,,,,,,,
Midlog,APC,,,,4,,1,,,,,,,,
Midlog,MOX,0,0,0.00E+00,4,no_growth,1,,,,,,,,
Midlog,LMPM,,,,4,,1,,,,,,,,
Midlog,5506,2,333000,3.33E+06,7,cnt,1,,,,,,,,
Midlog,0008,2,18200000,1.82E+08,7,cnt,1,,,,,,,,
Midlog,031,2,5760000,5.76E+07,7,cnt,1,,,,,,,,
Midlog,0506,2,23700000,2.37E+08,7,cnt,1,,,,,,,,
Midlog,5411,2,17000000,1.70E+08,7,cnt,1,,,,,,,,
Midlog,APC,0,0,0.00E+00,7,no_growth,1,,,,,,,,
Midlog,MOX,0,0,0.00E+00,7,no_growth,1,,,,,,,,
Midlog,LMPM,0,0,0.00E+00,7,no_growth,1,,,,,,,,
Midlog,5506,5,311000000,3.11E+04,Inoculum,cnt,2,,checked,,,,,,
Midlog,0008,6,560000000,5.60E+04,Inoculum,cnt,2,,,,,,,,
Midlog,031,5,604000000,6.04E+04,Inoculum,cnt,2,,,,,,,,
Midlog,0506,5,262000000,2.62E+04,Inoculum,cnt,2,,,,,,,,
Midlog,5411,5,701000000,7.01E+04,Inoculum,cnt,2,,,,,,,,
Midlog,5506,0,5000,5.00E+04,0,cnt,2,,,,,,,,
Midlog,0008,0,5750,5.75E+04,0,cnt,2,,,,,,,,
Midlog,031,0,7370,7.37E+04,0,cnt,2,,,,,,,,
Midlog,0506,0,7800,7.80E+04,0,cnt,2,,,,,,,,
Midlog,5411,0,5850,5.85E+04,0,cnt,2,,,,,,,,
Midlog,APC,0,530,5.30E+03,0,cnt,2,,checked,,,,,,
Midlog,MOX,0,0,0.00E+00,0,no_growth,2,,,,,,,,
Midlog,LMPM,0,0,0.00E+00,0,no_growth,2,,,,,,,,
Midlog,5506,1,4400,4.40E+04,1,cnt,2,,,,,,,,
Midlog,0008,0,24500,2.45E+05,1,cnt,2,,,,,,,,
Midlog,031,1,13800,1.38E+05,1,cnt,2,,,,,,,,
Midlog,0506,0,8700,8.70E+04,1,cnt,2,,,,,,,,
Midlog,5411,0,4660,4.66E+04,1,cnt,2,,,,,,,,
Midlog,APC,0,290,2.90E+03,1,cnt,2,,,,,,,,
Midlog,MOX,0,0,0.00E+00,1,no_growth,2,,,,,,,,
Midlog,LMPM,0,0,0.00E+00,1,no_growth,2,,,,,,,,
Midlog,5506,2,120000,1.20E+06,3,cnt,2,,,,,,,,
Midlog,0008,1,109000,1.09E+06,3,cnt,2,,,,,,,,
Midlog,031,2,203000,2.03E+06,3,cnt,2,,,,,,,,
Midlog,0506,1,111000,1.11E+06,3,cnt,2,,,,,,,,
Midlog,5411,1,19700,1.97E+05,3,cnt,2,,,,,,,,
Midlog,APC,0,1430,1.43E+04,3,cnt,2,,,,,,,,
Midlog,MOX,0,0,0.00E+00,3,no_growth,2,,,,,,,,
Midlog,LMPM,0,0,0.00E+00,3,no_growth,2,,,,,,,,
Midlog,5506,2,2030000,2.03E+07,4,cnt,2,,,,,,,,
Midlog,0008,2,0,0.00E+00,4,no_growth,2,,,,,,,,
Midlog,031,2,420000,4.20E+06,4,cnt,2,,,,,,,,
Midlog,0506,2,2000,2.00E+04,4,cnt,2,,,,,,,,
Midlog,5411,2,122000,1.22E+06,4,cnt,2,,,,,,,,
Midlog,APC,0,7330,7.33E+04,4,cnt,2,,,,,,,,
Midlog,MOX,0,0,0.00E+00,4,no_growth,2,,,,,,,,
Midlog,LMPM,0,0,0.00E+00,4,no_growth,2,,,,,,,,
Midlog,5506,3,16300000,1.63E+08,7,cnt,2,,,,,,,,
Midlog,0008,2,323000,3.23E+06,7,cnt,2,,,,,,,,
Midlog,031,2,1000,1.00E+04,7,cnt,2,,,,,,,,
Midlog,0506,2,5790000,5.79E+07,7,cnt,2,,checked,,,,,,
Midlog,5411,3,4700000,4.70E+07,7,cnt,2,,,,,,,,
Midlog,APC,0,16000,1.60E+05,7,cnt,2,,,,,,,,
Midlog,MOX,0,0,0.00E+00,7,no_growth,2,,,,,,,,
Midlog,LMPM,0,0,0.00E+00,7,no_growth,2,,,,,,,,
Midlog,5506,6,1010000000,1.01E+05,Inoculum,cnt,3,,,,,,,,
Midlog,0008,5,49000000,4.90E+03,Inoculum,cnt,3,,,,,,,,
Midlog,031,6,490000000,4.90E+04,Inoculum,cnt,3,,,,,,,,
Midlog,0506,5,0,0.00E+00,Inoculum,no_growth,3,,,,,,,,
Midlog,5411,5,365000000,3.65E+04,Inoculum,cnt,3,,,,,,,,
Midlog,5506,0,4420,4.42E+04,0,cnt,3,,checked,,,,,,
Midlog,0008,0,1320,1.32E+04,0,cnt,3,,,,,,,,
Midlog,031,0,7590,7.59E+04,0,cnt,3,,,,,,,,
Midlog,0506,1,3200,3.20E+04,0,cnt,3,,,,,,,,
Midlog,5411,0,2750,2.75E+04,0,cnt,3,,,,,,,,
Midlog,APC,1,2100,2.10E+04,0,cnt,3,,,,,,,,
Midlog,MOX,0,0,0.00E+00,0,no_growth,3,,,,,,,,
Midlog,LMPM,0,0,0.00E+00,0,no_growth,3,,,,,,,,
Midlog,5506,0,20000,2.00E+05,1,cnt,3,,,,,,,,
Midlog,0008,0,3650,3.65E+04,1,cnt,3,,,,,,,,
Midlog,031,0,17900,1.79E+05,1,cnt,3,,checked,,,,,,
Midlog,0506,0,6730,6.73E+04,1,cnt,3,,,,,,,,
Midlog,5411,1,3200,3.20E+04,1,cnt,3,,,,,,,,
Midlog,APC,0,270,2.70E+03,1,cnt,3,,,,,,,,
Midlog,MOX,0,0,0.00E+00,1,no_growth,3,,,,,,,,
Midlog,LMPM,0,0,0.00E+00,1,no_growth,3,,,,,,,,
Midlog,5506,1,310000,3.10E+06,3,cnt,3,,,,,,,,
Midlog,0008,2,232000,2.32E+06,3,cnt,3,,,,,,,,
Midlog,031,1,174000,1.74E+06,3,cnt,3,,,,,,,,
Midlog,0506,1,142000,1.42E+06,3,cnt,3,,,,,,,,
Midlog,5411,1,26600,2.66E+05,3,cnt,3,,checked,,,,,,
Midlog,APC,0,1600,1.60E+04,3,cnt,3,,,,,,,,
Midlog,MOX,0,0,0.00E+00,3,no_growth,3,,,,,,,,
Midlog,LMPM,0,0,0.00E+00,3,no_growth,3,,,,,,,,
Midlog,5506,2,1370000,1.37E+07,4,cnt,3,,,,,,,,
Midlog,0008,2,50000,5.00E+05,4,cnt,3,,,,,,,,
Midlog,031,1,20600,2.06E+05,4,cnt,3,,,,,,,,
Midlog,0506,1,8200,8.20E+04,4,cnt,3,,,,,,,,
Midlog,5411,1,76600,7.66E+05,4,cnt,3,,,,,,,,
Midlog,APC,1,10200,1.02E+05,4,cnt,3,,,,,,,,
Midlog,MOX,0,0,0.00E+00,4,no_growth,3,,,,,,,,
Midlog,LMPM,0,0,0.00E+00,4,no_growth,3,,,,,,,,
Midlog,5506,3,1940000,1.94E+07,7,cnt,3,,,,,,,,
Midlog,0008,2,1460000,1.46E+07,7,cnt,3,,,,,,,,
Midlog,031,2,1300000,1.30E+07,7,cnt,3,,,,,,,,
Midlog,0506,2,1330000,1.33E+07,7,cnt,3,,,,,,,,
Midlog,5411,1,253000,2.53E+06,7,cnt,3,,,,,,,,
Midlog,APC,0,46900,4.69E+05,7,cnt,3,,,,,,,,
Midlog,MOX,0,0,0.00E+00,7,no_growth,3,,,,,,,,
Midlog,LMPM,0,0,0.00E+00,7,no_growth,3,,,,,,,,
NaCl,5506,6,1020000000,1.02E+05,Inoculum,cnt,1,,checked,,,,,,
NaCl,0008,6,1660000000,1.66E+05,Inoculum,cnt,1,,,,,,,,
NaCl,031,6,1160000000,1.16E+05,Inoculum,cnt,1,,,,,,,,
NaCl,0506,6,542000000,5.42E+04,Inoculum,cnt,1,,,,,,,,
NaCl,5411,6,1820000000,1.82E+05,Inoculum,cnt,1,,,,,,,,
NaCl,5506,0,16200,1.62E+05,0,cnt,1,,,,,,,,
NaCl,0008,0,19600,1.96E+05,0,cnt,1,,,,,,,,
NaCl,031,0,12400,1.24E+05,0,cnt,1,,,,,,,,
NaCl,0506,0,7690,7.69E+04,0,cnt,1,,,,,,,,
NaCl,5411,0,1700,1.70E+04,0,cnt,1,,,,,,,,
NaCl,APC,0,61.3,6.13E+02,0,cnt,1,,checked,,,,,,
NaCl,MOX,0,0,0.00E+00,0,no_growth,1,,,,,,,,
NaCl,LMPM,0,0,0.00E+00,0,no_growth,1,,,,,,,,
NaCl,5506,0,34300,3.43E+05,1,cnt,1,,,,,,,,
NaCl,0008,0,16900,1.69E+05,1,cnt,1,,,,,,,,
NaCl,031,1,29200,2.92E+05,1,cnt,1,,,,,,,,
NaCl,0506,0,23000,2.30E+05,1,cnt,1,,,,,,,,
NaCl,5411,0,2180,2.18E+04,1,cnt,1,,,,,,,,
NaCl,APC,1,0,0.00E+00,1,no_growth,1,,,,,,,,
NaCl,MOX,0,0,0.00E+00,1,no_growth,1,,,,,,,,
NaCl,LMPM,0,0,0.00E+00,1,no_growth,1,,,,,,,,
NaCl,5506,0,34700,3.47E+05,3,cnt,1,,,,,,,,
NaCl,0008,2,623000,6.23E+06,3,cnt,1,,,,,,,,
NaCl,031,1,49400,4.94E+05,3,cnt,1,,,,,,,,
NaCl,0506,1,51000,5.10E+05,3,cnt,1,,,,,,,,
NaCl,5411,0,2830,2.83E+04,3,cnt,1,,,,,,,,
NaCl,APC,0,20.4,2.04E+02,3,cnt,1,,,,,,,,
NaCl,MOX,0,0,0.00E+00,3,no_growth,1,,,,,,,,
NaCl,LMPM,0,0,0.00E+00,3,no_growth,1,,,,,,,,
NaCl,5506,1,262000,2.62E+06,4,cnt,1,,,,,,,,
NaCl,0008,0,106000,1.06E+06,4,cnt,1,,checked,,,,,,
NaCl,031,0,69500,6.95E+05,4,cnt,1,,,,,,,,
NaCl,0506,1,88300,8.83E+05,4,cnt,1,,,,,,,,
NaCl,5411,0,41100,4.11E+05,4,cnt,1,,,,,,,,
NaCl,APC,1,2200,2.20E+04,4,cnt,1,,,,,,,,
NaCl,MOX,0,0,0.00E+00,4,no_growth,1,,,,,,,,
NaCl,LMPM,0,0,0.00E+00,4,no_growth,1,,,,,,,,
NaCl,5506,2,8300000,8.30E+07,7,cnt,1,,,,,,,,
NaCl,0008,2,8760000,8.76E+07,7,cnt,1,,,,,,,,
NaCl,031,2,1620000,1.62E+07,7,cnt,1,,,,,,,,
NaCl,0506,2,12100000,1.21E+08,7,cnt,1,,checked,,,,,,
NaCl,5411,2,3500000,3.50E+07,7,cnt,1,,,,,,,,
NaCl,APC,0,0,0.00E+00,7,no_growth,1,,,,,,,,
NaCl,MOX,0,0,0.00E+00,7,no_growth,1,,,,,,,,
NaCl,LMPM,0,0,0.00E+00,7,no_growth,1,,,,,,,,
NaCl,5506,5,548000000,5.48E+04,Inoculum,cnt,2,,,,,,,,
NaCl,0008,5,950000000,9.50E+04,Inoculum,cnt,2,,,,,,,,
NaCl,031,5,80000000,8.00E+03,Inoculum,cnt,2,,,,,,,,
NaCl,0506,5,312000000,3.12E+04,Inoculum,cnt,2,,,,,,,,
NaCl,5411,6,20000000,2.00E+03,Inoculum,cnt,2,,,,,,,,
NaCl,5506,0,7900,7.90E+04,0,cnt,2,,checked,,,,,,
NaCl,0008,0,7630,7.63E+04,0,cnt,2,,,,,,,,
NaCl,031,0,11000,1.10E+05,0,cnt,2,,,,,,,,
NaCl,0506,0,5380,5.38E+04,0,cnt,2,,,,,,,,
NaCl,5411,0,3910,3.91E+04,0,cnt,2,,,,,,,,
NaCl,APC,0,130,1.30E+03,0,cnt,2,,,,,,,,
NaCl,MOX,0,0,0.00E+00,0,no_growth,2,,,,,,,,
NaCl,LMPM,0,0,0.00E+00,0,no_growth,2,,,,,,,,
NaCl,5506,0,26900,2.69E+05,1,cnt,2,,,,,,,,
NaCl,0008,0,12200,1.22E+05,1,cnt,2,,,,,,,,
NaCl,031,1,10900,1.09E+05,1,cnt,2,,checked,,,,,,
NaCl,0506,0,5490,5.49E+04,1,cnt,2,,,,,,,,
NaCl,5411,0,4110,4.11E+04,1,cnt,2,,,,,,,,
NaCl,APC,0,920,9.20E+03,1,cnt,2,,,,,,,,
NaCl,MOX,0,0,0.00E+00,1,no_growth,2,,,,,,,,
NaCl,LMPM,0,0,0.00E+00,1,no_growth,2,,,,,,,,
NaCl,5506,1,52700,5.27E+05,3,cnt,2,,,,,,,,
NaCl,0008,1,469000,4.69E+06,3,cnt,2,,,,,,,,
NaCl,031,1,400000,4.00E+06,3,cnt,2,,,,,,,,
NaCl,0506,1,71000,7.10E+05,3,cnt,2,,,,,,,,
NaCl,5411,1,30200,3.02E+05,3,cnt,2,,checked,,,,,,
NaCl,APC,0,7490,7.49E+04,3,cnt,2,,,,,,,,
NaCl,MOX,0,0,0.00E+00,3,no_growth,2,,,,,,,,
NaCl,LMPM,0,0,0.00E+00,3,no_growth,2,,,,,,,,
NaCl,5506,3,3890000,3.89E+07,4,cnt,2,,,,,,,,
NaCl,0008,2,195000,1.95E+06,4,cnt,2,,,,,,,,
NaCl,031,2,1530000,1.53E+07,4,cnt,2,,,,,,,,
NaCl,0506,1,56100,5.61E+05,4,cnt,2,,,,,,,,
NaCl,5411,2,366000,3.66E+06,4,cnt,2,,,,,,,,
NaCl,APC,1,5900,5.90E+04,4,cnt,2,,,,,,,,
NaCl,MOX,0,0,0.00E+00,4,no_growth,2,,,,,,,,
NaCl,LMPM,0,0,0.00E+00,4,no_growth,2,,,,,,,,
NaCl,5506,3,10100000,1.01E+08,7,cnt,2,,,,,,,,
NaCl,0008,3,12700000,1.27E+08,7,cnt,2,,,,,,,,
NaCl,031,2,8210000,8.21E+07,7,cnt,2,,,,,,,,
NaCl,0506,3,800000,8.00E+06,7,cnt,2,,,,,,,,
NaCl,5411,3,1810000,1.81E+07,7,cnt,2,,,,,,,,
NaCl,APC,1,693000,6.93E+06,7,cnt,2,,,,,,,,
NaCl,MOX,0,0,0.00E+00,7,no_growth,2,,,,,,,,
NaCl,LMPM,0,0,0.00E+00,7,no_growth,2,,,,,,,,
NaCl,5506,6,1390000000,1.39E+05,Inoculum,cnt,3,,checked,,,,,,
NaCl,0008,6,1480000000,1.48E+05,Inoculum,cnt,3,,,,,,,,
NaCl,031,6,730000000,7.30E+04,Inoculum,cnt,3,,,,,,,,
NaCl,0506,6,300000000,3.00E+04,Inoculum,cnt,3,,,,,,,,
NaCl,5411,5,,,Inoculum,no_growth,3,,,,,,,,
NaCl,5506,0,15300,1.53E+05,0,cnt,3,,,,,,,,
NaCl,0008,0,9290,9.29E+04,0,cnt,3,,,,,,,,
NaCl,031,0,1470,1.47E+04,0,cnt,3,,,,,,,,
NaCl,0506,0,4800,4.80E+04,0,cnt,3,,,,,,,,
NaCl,5411,0,1360,1.36E+04,0,cnt,3,,,,,,,,
