"","Plant","VSLNumber","SampleID","spoilagetype","SPC_D10","SPC_D14","SPC_D17","SPC_D21","SPC_D7","SPC_DI","LOD_SPC_D10","LOD_SPC_D14","LOD_SPC_D17","LOD_SPC_D21","LOD_SPC_D7","LOD_SPC_DI"
"143","Hood-Concord","433","24","spore",654,1700,31700,9610000,552,746,"OK","OK","OK","OK","OK","OK"
"144","Hood-Concord","435","72","NotSpoiled",603,460,2340,276,430,879,"OK","OK","OK","OK","OK","OK"
"145","Hood-Concord","435","72-1","NotSpoiled",798,583,1140,2940,501,818,"OK","OK","OK","OK","OK","OK"
"146","Hood-Concord","435","72-2","NotSpoiled",634,971,256,3640,562,838,"OK","OK","OK","OK","OK","OK"
"147","Hood-Concord","435","73","NotSpoiled",1020,1680,583,511,767,1260,"OK","OK","OK","OK","OK","OK"
"148","Hood-Concord","435","73-1","NotSpoiled",939,1030,552,950,715,1140,"OK","OK","OK","OK","OK","OK"
"149","Hood-Concord","435","73-2","spore",736,1100,5120,4e+05,1030,1200,"OK","OK","OK",">","OK","OK"
"150","Hood-Concord","438","22","spore",2950,10400,727000,2020000,3580,5600,"OK","OK","OK","OK","OK","OK"
"151","Hood-Concord","438","22-1","spore",4180,7710,93900,902000,5140,5730,"OK","OK","OK","OK","OK","OK"
"152","Hood-Concord","438","22-2","spore",3940,6390,101000,549000,4280,4850,"OK","OK","OK","OK","OK","OK"
"153","Hood-Concord","438","23","spore",1230,1960,2910,231000,1680,2760,"OK","OK","OK","OK","OK","OK"
"154","Hood-Concord","438","23-1","spore",2180,3310,4370,227000,2090,2670,"OK","OK","OK","OK","OK","OK"
"155","Hood-Concord","438","23-2","ppc",3650000,10600000,1.16e+08,86700000,15900,2710,"OK","OK","OK","OK","OK","OK"
"156","Hood-Concord","440","82","ppc",10200000,1.97e+08,55900000,2.76e+08,6940,951,"OK","OK","OK","OK","OK","OK"
"157","Hood-Concord","440","82-1","spore",1610,55100,3330000,17800000,624,910,"OK","OK","OK","OK","OK","OK"
"158","Hood-Concord","440","82-2","spore",1300,4e+05,1600000,27900000,593,939,"OK",">","OK","OK","OK","OK"
"159","Hood-Concord","440","83","spore",1110,1300,7200,841000,787,1180,"OK","OK","OK","OK","OK","OK"
"160","Hood-Concord","440","83-1","spore",2080,2340,10300000,734000,695,859,"OK","OK","OK","OK","OK","OK"
"161","Hood-Concord","440","83-2","ppc",10800000,1000,61400,881000,27800,685,"OK","<","OK","OK","OK","OK"
"162","Hood-Portland","433","31","spore",17700,82300000,2.94e+08,2.76e+10,614,838,"OK","OK","OK","OK","OK","OK"
"163","Hood-Portland","433","32","ppc",11300000,2.16e+08,2.35e+08,7.08e+08,3510,174,"OK","OK","OK","OK","OK","OK"
"164","Hood-Portland","433","32-1","NotSpoiled",205,102,174,3100,184,123,"OK","OK","OK","OK","OK","OK"
"165","Hood-Portland","433","32-2","spore",92,92,440,28100,123,174,"OK","OK","OK","OK","OK","OK"
"166","Hood-Portland","433","33","spore",205,38700,204,9830,368,307,"OK","OK","OK","OK","OK","OK"
"167","Hood-Portland","433","33-1","ppc",1700000,26800000,10000,3520,1690,297,"OK","OK","<","OK","OK","OK"
"168","Hood-Portland","433","33-2","NotSpoiled",266,205,215,3260,215,491,"OK","OK","OK","OK","OK","OK"
"169","Hood-Portland","433","34","ppc",8330000,2.73e+08,0,1.43e+09,1120,225,"OK","OK","OK","OK","OK","OK"
"170","Hood-Portland","435","82","spore",877,292000,4060000,4560000,409,521,"OK","OK","OK","OK","OK","OK"
"171","Hood-Portland","435","82-1","spore",654,5250,127000,4140000,603,716,"OK","OK","OK","OK","OK","OK"
"172","Hood-Portland","435","82-2","spore",16900,29200000,7.99e+08,1.83e+08,13900,552,"OK","OK","OK","OK","OK","OK"
"173","Hood-Portland","435","83","spore",256,266,1510,4e+05,246,348,"OK","OK","OK",">","OK","OK"
"174","Hood-Portland","435","83-1","spore",2360,3570000,10000,15700000,133,399,"OK","OK","<","OK","OK","OK"
"175","Hood-Portland","435","83-2","spore",399,225,4e+05,6520,225,358,"OK","OK",">","OK","OK","OK"
"176","Hood-Portland","438","32","spore",92,327,174,22000,31,72,"OK","OK","OK","OK","OK","OK"
"177","Hood-Portland","438","32-1","NotSpoiled",31,133,1650,3690,21,20,"OK","OK","OK","OK","OK","OK"
"178","Hood-Portland","438","32-2","NotSpoiled",21,21,20,910,82,10,"OK","OK","OK","OK","OK","OK"
"179","Hood-Portland","438","33","ppc",50600,5950000,132000,832000,61,72,"OK","OK","OK","OK","OK","OK"
"180","Hood-Portland","438","33-1","spore",31,21,4e+05,939,72,82,"OK","OK",">","OK","OK","OK"
"181","Hood-Portland","438","33-2","ppc",20700000,2.97e+08,5.22e+08,5.73e+08,163000,51,"OK","OK","OK","OK","OK","OK"
"182","Hood-Portland","440","92","spore",10,979,3230,235000,20,10,"OK","OK","OK","OK","OK","OK"
"183","Hood-Portland","440","92-1","ppc",9420000,38100000,1.06e+08,68700000,46000,72,"OK","OK","OK","OK","OK","OK"
"184","Hood-Portland","440","92-2","spore",31,92,2990,32300,41,51,"OK","OK","OK","OK","OK","OK"
"185","Hood-Portland","440","93","NotSpoiled",72,21,327,665,41,102,"OK","OK","OK","OK","OK","OK"
"186","Hood-Portland","440","93-1","ppc",9410000,14400000,1.2e+08,90200000,38200,143,"OK","OK","OK","OK","OK","OK"
"187","Hood-Portland","440","93-2","spore",51,4e+05,395000,1080000,51,20,"OK",">","OK","OK","OK","OK"
"188","Stewart's","435","12","spore",287,961,1010,42700,300,370,"OK","OK","OK","OK","OK","OK"
"189","Stewart's","435","12-1","ppc",2.4e+07,205,1130,705,90800,480,"OK","OK","OK","OK","OK","OK"
"190","Stewart's","435","13","NotSpoiled",215,450,266,1430,280,400,"OK","OK","OK","OK","OK","OK"
"191","Stewart's","435","13-1","ppc",24300000,2.6e+08,4.73e+08,7.29e+08,98200,388,"OK","OK","OK","OK","OK","OK"
"192","Stewart's","435","13-2","spore",440,327,28100,270000,327,419,"OK","OK","OK","OK","OK","OK"
"193","Stewart's","437","82","NotSpoiled",153,112,72,869,164,133,"OK","OK","OK","OK","OK","OK"
"194","Stewart's","437","82-1","spore",236,13800,353000,1390000,133,174,"OK","OK","OK","OK","OK","OK"
"195","Stewart's","437","83","NotSpoiled",184,174,133,317,164,184,"OK","OK","OK","OK","OK","OK"
"196","Stewart's","437","83-1","NotSpoiled",164,82,194,123,225,266,"OK","OK","OK","OK","OK","OK"
"197","Stewart's","437","83-2","NotSpoiled",194,123,266,245,92,143,"OK","OK","OK","OK","OK","OK"
"198","Stewart's","440","12","spore",123,889,348,273000,112,70,"OK","OK","OK","OK","OK","OK"
"199","Stewart's","440","12-1","NotSpoiled",102,61,1030,18400,31,51,"OK","OK","OK","OK","OK","OK"
"200","Stewart's","440","13","NotSpoiled",51,113,3630,3120,41,90,"OK","OK","OK","OK","OK","OK"
"201","Stewart's","440","13-1","NotSpoiled",51,82,736,184,31,31,"OK","OK","OK","OK","OK","OK"
"202","Stewart's","440","13-2","spore",41,82,40100,840000,61,51,"OK","OK","OK","OK","OK","OK"
"203","Stewart's","442","82","spore",112,194,4660,599000,41,143,"OK","OK","OK","OK","OK","OK"
"204","Stewart's","442","82-1","NotSpoiled",143,143,72,552,133,154,"OK","OK","OK","OK","OK","OK"
"205","Stewart's","442","83","spore",113,4e+05,82,16200,92,92,"OK",">","OK","OK","OK","OK"
"206","Stewart's","442","83-1","NotSpoiled",61,31,133,1170,82,102,"OK","OK","OK","OK","OK","OK"
"207","Upstate Buffalo","434","31","ppc",78700,1.38e+08,1.53e+09,5210000,113,31,"OK","OK","OK","OK","OK","OK"
"208","Upstate Buffalo","434","32","ppc",47600000,99300000,1.34e+09,2.79e+10,29700,31,"OK","OK","OK","OK","OK","OK"
"209","Upstate Buffalo","434","32-1","spore",112,205,2830,51700,450,399,"OK","OK","OK","OK","OK","OK"
"210","Upstate Buffalo","434","32-2","ppc",1e+06,17600000,10200,52100,1480,726,"OK","OK","OK","OK","OK","OK"
"211","Upstate Buffalo","434","33","ppc",64800000,1960000,245000,1.77e+09,13500,41,"OK","OK","OK","OK","OK","OK"
"212","Upstate Buffalo","434","33-1","ppc",12700000,30300000,39600000,1.76e+08,20900,61,"OK","OK","OK","OK","OK","OK"
"213","Upstate Buffalo","434","34","ppc",20300000,2.05e+08,3.88e+08,2.3e+10,113,31,"OK","OK","OK","OK","OK","OK"
"214","Upstate Buffalo","436","72","spore",419,994,22300,1260000,614,777,"OK","OK","OK","OK","OK","OK"
"215","Upstate Buffalo","436","72-1","spore",726,705,5400,128000,675,705,"OK","OK","OK","OK","OK","OK"
"216","Upstate Buffalo","436","72-2","spore",583,777,11300,1240000,868,828,"OK","OK","OK","OK","OK","OK"
"217","Upstate Buffalo","436","73","spore",878,47000,1340000,11900000,1140,960,"OK","OK","OK","OK","OK","OK"
"218","Upstate Buffalo","436","73-1","spore",705,1400,23900,2360000,857,900,"OK","OK","OK","OK","OK","OK"
"219","Upstate Buffalo","436","73-2","spore",685,1050,17900,176000,869,940,"OK","OK","OK","OK","OK","OK"
"220","Upstate Buffalo","439","32","spore",1660,319000,4e+08,1.67e+08,1860,1350,"OK","OK",">","OK","OK","OK"
"221","Upstate Buffalo","439","32-1","spore",1890,1070,10100,398000,1510,3710,"OK","OK","OK","OK","OK","OK"
"222","Upstate Buffalo","439","32-2","spore",2150,1470,1800,62600,1700,3220,"OK","OK","OK","OK","OK","OK"
"223","Upstate Buffalo","439","33","spore",1370,1630,3.7e+08,1840000,1640,1520,"OK","OK","OK","OK","OK","OK"
"224","Upstate Buffalo","439","33-1","ppc",3e+07,1000,2440,2.27e+08,189000,2240,"OK","<","OK","OK","OK","OK"
"225","Upstate Buffalo","439","33-2","ppc",32800000,3e+07,2.52e+08,3.32e+08,126000,2620,"OK","OK","OK","OK","OK","OK"
"226","Upstate Buffalo","441","92","spore",1500,1660,2280,41700,1720,5900,"OK","OK","OK","OK","OK","OK"
"227","Upstate Buffalo","441","92-1","spore",1800,2380,3130,20900,2230,2440,"OK","OK","OK","OK","OK","OK"
"228","Upstate Buffalo","441","92-2","spore",7750,39300,480000,5640000,2470,2610,"OK","OK","OK","OK","OK","OK"
"229","Upstate Buffalo","441","93","spore",10,72,511,4e+05,92,51,"OK","OK","OK",">","OK","OK"
"230","Upstate Buffalo","441","93-1","spore",41,92,1370,4e+05,10,20,"OK","OK","OK",">","<","OK"
"231","Upstate Buffalo","441","93-2","ppc",42800000,1.09e+08,4.07e+08,4.69e+08,89300,10,"OK","OK","OK","OK","OK","OK"
"232","Upstate Buffalo","458","31","spore",11,63,1200,4e+05,60,20,"OK","OK","OK",">","OK","OK"
"233","Upstate Buffalo","458","32","spore",120,190000,14000,3700000,10,20,"OK","OK","OK","OK","OK","OK"
"234","Upstate Buffalo","458","33","NotSpoiled",120,90,810,3200,20,60,"OK","OK","OK","OK","OK","OK"
"235","Upstate Buffalo","458","34","spore",150,4e+05,5500,4.5e+07,100,80,"OK",">","OK","OK","OK","OK"
"236","Upstate Buffalo","458","34-1","ppc",3e+06,8.7e+07,1.9e+08,2.1e+09,58000,100,"OK","OK","OK","OK","OK","OK"
"237","Upstate Buffalo","Aim2","Prelim","NotSpoiled",10,929,419,1310,20,0,"OK","OK","OK","OK","OK","OK"
"238","Upstate Buffalo","Aim2","Prelim","spore",0,347,106150,1420,0,0,"OK","OK","OK","OK","OK","OK"
"239","Upstate Buffalo","Aim2","Prelim","NotSpoiled",10,532,552,1020,0,0,"OK","OK","OK","OK","OK","OK"
"240","Upstate Buffalo","Aim2","Prelim","NotSpoiled",31,143,674,337,0,0,"OK","OK","OK","OK","OK","OK"
"241","Upstate Buffalo","Aim2","Prelim","NotSpoiled",0,644,1020,910,10,0,"OK","OK","OK","OK","OK","OK"
"242","Upstate Buffalo","Aim2","Prelim","NotSpoiled",72,440,1165,1330,0,0,"OK","OK","OK","OK","OK","OK"
"243","Upstate Buffalo","Aim2","Prelim","spore",3210,17700000,214500,5005000,62,0,"OK","OK","OK","OK","OK","OK"
"244","Upstate Buffalo","Aim2","Prelim","ppc",8270000,2025000,3.86e+08,NA,7760,0,"OK","OK","OK","OK","OK","OK"
"245","Upstate Rochester","434","21","ppc",16300000,2700000,287000,14600000,3590,2110,"OK","OK","OK","OK","OK","OK"
"246","Upstate Rochester","434","22","ppc",2.03e+08,1.71e+09,1.63e+10,4.54e+09,4e+05,72,"OK","OK","OK","OK",">","OK"
"247","Upstate Rochester","434","22-1","ppc",28900000,4.35e+08,2.11e+08,3.57e+08,1360000,1270,"OK","OK","OK","OK","OK","OK"
"248","Upstate Rochester","434","22-2","spore",92,113,174,90500,256,297,"OK","OK","OK","OK","OK","OK"
"249","Upstate Rochester","434","23","ppc",225000,1.22e+08,1.05e+09,2.12e+08,256,31,"OK","OK","OK","OK","OK","OK"
"250","Upstate Rochester","434","23-1","NotSpoiled",82,286,2400,481,121,327,"OK","OK","OK","OK","OK","OK"
"251","Upstate Rochester","434","23-2","ppc",31800,2350000,2130000,5.93e+08,112,154,"OK","OK","OK","OK","OK","OK"
"252","Upstate Rochester","434","24","ppc",NA,5.83e+08,1.01e+11,1.63e+11,4e+05,532,"OK","OK","OK","OK",">","OK"
"253","Upstate Rochester","436","82","NotSpoiled",143,1760,399,92,51,61,"OK","OK","OK","OK","OK","OK"
"254","Upstate Rochester","436","82-1","NotSpoiled",41,72,112,20,51,20,"OK","OK","OK","OK","OK","OK"
"255","Upstate Rochester","436","82-2","NotSpoiled",41,2620,4620,15500,10,31,"OK","OK","OK","OK","OK","OK"
"256","Upstate Rochester","436","83","spore",2430,4610,33700,8840,163,133,"OK","OK","OK","OK","OK","OK"
"257","Upstate Rochester","436","83-1","spore",102,112,112000,4180000,113,174,"OK","OK","OK","OK","OK","OK"
"258","Upstate Rochester","436","83-2","spore",92,235,2870000,2.91e+08,123,123,"OK","OK","OK","OK","OK","OK"
"259","Upstate Rochester","439","22","spore",82,890,37300,202000,72,61,"OK","OK","OK","OK","OK","OK"
"260","Upstate Rochester","439","22-1","spore",31,286,898,68600,62,10,"OK","OK","OK","OK","OK","OK"
"261","Upstate Rochester","439","22-2","spore",164,409,4e+05,2500000,92,123,"OK","OK",">","OK","OK","OK"
"262","Upstate Rochester","439","23","NotSpoiled",20,20,10200,31,41,10,"OK","OK","OK","OK","OK","OK"
"263","Upstate Rochester","439","23-1","NotSpoiled",21,10,51,3200,21,20,"OK","<","OK","OK","OK","OK"
"264","Upstate Rochester","439","23-2","ppc",1400000,51700000,2.17e+08,2.57e+08,368,21,"OK","OK","OK","OK","OK","OK"
"265","Upstate Rochester","441","82","spore",266,79000,2530000,9910000,20,10,"OK","OK","OK","OK","OK","OK"
"266","Upstate Rochester","441","82-1","spore",31,41,4e+05,592000,31,10,"OK","OK",">","OK","OK","<"
"267","Upstate Rochester","441","82-2","spore",18400,13900000,2.71e+08,6.34e+08,133,10,"OK","OK","OK","OK","OK","OK"
"268","Upstate Rochester","441","83","spore",61,4750,39000,1260000,21,31,"OK","OK","OK","OK","OK","OK"
"269","Upstate Rochester","441","83-1","NotSpoiled",72,41,72,572,51,51,"OK","OK","OK","OK","OK","OK"
"270","Upstate Rochester","441","83-2","ppc",24300000,1.07e+08,6.07e+08,8.59e+08,26500,41,"OK","OK","OK","OK","OK","OK"
"271","Upstate Rochester","458","21","spore",95,7700,150000,4600000,40,110,"OK","OK","OK","OK","OK","OK"
"272","Upstate Rochester","458","22","spore",200,14000,98000,93000,90,80,"OK","OK","OK","OK","OK","OK"
"273","Upstate Rochester","458","22-1","spore",11000,2900000,2.1e+07,1.6e+07,660,130,"OK","OK","OK","OK","OK","OK"
"274","Upstate Rochester","458","23","spore",180,47000,11000,4000,70,90,"OK","OK","OK","OK","OK","OK"
"275","Upstate Rochester","458","23-1","NotSpoiled",170,190,500,1400,200,200,"OK","OK","OK","OK","OK","OK"
"276","Upstate Rochester","458","23-2","spore",1100,240,1900,4e+05,110,120,"OK","OK","OK",">","OK","OK"
"277","Upstate Rochester","458","24","spore",200,2800,110000,490000,140,10,"OK","OK","OK","OK","OK","OK"
"278","Upstate Rochester","Aim2","Prelim","spore",552,3935000,6895000,NA,41,10,"OK","OK","OK","OK","OK","OK"
"279","Upstate Rochester","Aim2","Prelim","NotSpoiled",20,276,3105,15200,41,51,"OK","OK","OK","OK","OK","OK"
"280","Upstate Rochester","Aim2","Prelim","spore",41,61,818,77950,20,0,"OK","OK","OK","OK","OK","OK"
"281","Upstate Rochester","Aim2","Prelim","NotSpoiled",41,1440,889,8650,0,20,"OK","OK","OK","OK","OK","OK"
"282","Upstate Rochester","Aim2","Prelim","spore",0,45700,224,16600,10,0,"OK","OK","OK","OK","OK","OK"
"283","Upstate Rochester","Aim2","Prelim","spore",1086,28450,4e+05,1810000,184,112,"OK","OK","OK","OK","OK","OK"
